Rank (Borda);Model;Zero-shot;Memory Usage (MB);Number of Parameters;Embedding Dimensions;Max Tokens;Mean (Task);Mean (TaskType);Reranking;Retrieval
1;[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B);100%;13813;7B;4096;4096;84.42;86.47;92.62;80.32
2;[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral);100%;13563;7B;4096;32768;83.8;85.71;91.42;79.99
3;[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct);100%;13563;7B;4096;32768;83.83;85.64;91.08;80.2
4;[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral);100%;13563;7B;4096;32768;84.17;85.81;90.75;80.88
5;[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2);100%;35254;9B;3584;8192;82.66;84.95;91.83;78.07
6;[Cohere-embed-multilingual-v3.0](https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0);⚠️ NA;Unknown;Unknown;1024;Unknown;81.7;84.08;91.2;76.95
7;[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R);100%;13563;7B;4096;32768;82.4;83.76;87.84;79.68
8;[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct);100%;1068;560M;1024;514;81.32;83.48;89.95;77.01
9;[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0);100%;2166;568M;1024;8192;80.51;82.88;90;75.76
10;[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1);100%;3802;1B;8960;131072;79.14;80.88;86.12;75.65
11;[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct);⚠️ NA;29449;7B;4096;32768;78.39;80.53;86.98;74.09
12;[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base);100%;582;305M;768;8192;77.9;80.43;88.03;72.83
13;[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large);100%;2136;559M;1024;514;78.19;80.13;85.95;74.31
14;[USER-bge-m3](https://huggingface.co/deepvk/USER-base);100%;1370;359M;1024;8194;77.18;79.34;85.83;72.85
15;[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1);100%;1885;494M;896;512;76.09;78.88;87.27;70.5
15;[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5);100%;5887;1B;8960;131072;76.18;78.56;85.7;71.42
17;[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/);100%;Unknown;Unknown;1024;16000;72.87;77.45;91.2;63.71
18;[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1);100%;1885;494M;896;512;75.99;78.64;86.6;70.68
19;[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large);100%;2136;560M;1024;514;76.97;79.09;85.45;72.72
20;[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3);⚠️ NA;Unknown;Unknown;384;512;75.43;78.06;85.96;70.17
21;[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual);100%;204;107M;384;512;73.53;76.97;87.28;66.66
22;[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct);⚠️ NA;6776;1B;8960;32768;72.61;77.97;94.03;61.9
23;[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base);100%;1061;278M;768;514;74.53;77.22;85.31;69.13
24;[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual);100%;530;278M;768;512;74.51;77.29;85.64;68.94
25;[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct);⚠️ NA;29040;7B;3584;32768;75.06;77.38;84.32;70.43
26;[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base);100%;1061;278M;768;514;71.62;74.67;83.83;65.52
27;[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3);100%;1092;572M;1024;8194;73.86;73.72;73.32;74.13
28;[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5);100%;1660;435M;4096;8192;70.42;73.89;84.29;63.48
29;[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small);100%;449;117M;384;512;69.96;72.89;81.68;64.09
30;[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/);100%;Unknown;Unknown;1024;32000;67.33;73.1;90.4;55.8
31;[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small);100%;449;118M;384;512;69.13;72.15;81.22;63.08
32;[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1);100%;420;110M;768;512;66.8;70.18;80.3;60.05
33;[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2);100%;1061;278M;768;512;66.59;70.18;80.97;59.4
34;[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l);100%;1274;335M;1024;512;65.68;68.87;78.44;59.31
35;[Cohere-embed-english-v3.0](https://huggingface.co/Cohere/Cohere-embed-english-v3.0);⚠️ NA;Unknown;Unknown;1024;Unknown;65.2;67.93;76.13;59.73
36;[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1);⚠️ NA;2136;559M;1024;514;61.83;68.45;88.28;48.61
37;[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka);100%;1061;278M;768;514;64.31;67.94;78.82;57.06
38;[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised);100%;27126;7B;4096;32768;64.27;67.81;78.43;57.18
39;[e5-large](https://huggingface.co/intfloat/e5-large);100%;1278;335M;1024;512;64.85;67.63;75.95;59.3
40;[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/);⚠️ NA;Unknown;Unknown;1536;8191;61.76;68.79;89.87;47.71
41;[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1);100%;13483;7B;3584;32768;;;;81.91
42;[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2);100%;1278;335M;1024;514;63.88;66.89;75.92;57.87
43;[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b);100%;2944;1B;1536;32768;;;;80.47
44;[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1);100%;134;35M;512;512;62.81;66.44;77.31;55.57
44;[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/);100%;Unknown;Unknown;1024;32000;;;;85.21
46;[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2);100%;418;109M;768;512;62.16;65.6;75.91;55.29
47;[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/);100%;Unknown;Unknown;1536;16000;59.21;66.1;86.77;45.44
47;[e5-small](https://huggingface.co/intfloat/e5-small);100%;127;33M;384;512;61.7;65.1;75.29;54.91
49;[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka);⚠️ NA;1796;470M;768;512;62.44;65.99;76.64;55.34
49;[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2);100%;1061;278M;768;514;62.29;66.1;77.53;54.68
51;[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/);⚠️ NA;Unknown;Unknown;3072;8191;;;90.38;
52;[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl);100%;9279;11B;768;512;60.11;66.37;85.15;47.6
53;[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka);⚠️ NA;2136;559M;1024;514;60.5;64.1;74.9;53.3
53;[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s);100%;127;32M;384;512;61.04;63.74;71.85;55.64
55;[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2);100%;2441;1B;2048;2048;59.17;65.17;83.17;47.17
55;[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised);100%;Unknown;Unknown;768;8192;60.34;63.96;74.8;53.11
57;[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0);100%;1278;335M;1024;512;60.01;63.94;75.74;52.14
58;[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4);100%;2441;1B;2048;2048;56.98;63.75;84.07;43.43
59;[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3);⚠️ NA;Unknown;Unknown;384;512;59.43;62.86;73.16;52.57
60;[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/);⚠️ NA;Unknown;Unknown;1536;8191;;;85.45;
61;[gte-large](https://huggingface.co/thenlper/gte-large);⚠️ NA;639;335M;1024;512;58.97;62.35;72.47;52.23
62;[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5);100%;1242;335M;1024;512;59.25;62.6;72.67;52.54
63;[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1);100%;639;335M;1024;512;58.95;62.17;71.82;52.52
64;[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr);100%;2166;567M;1024;8194;55.16;62.73;85.43;40.02
65;[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2);100%;449;118M;768;512;58.63;62.1;72.5;51.69
66;[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5);100%;415;109M;768;512;58.6;62.44;73.97;50.91
67;[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl);100%;2367;3B;768;512;54.09;61.33;83.07;39.6
68;[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/);100%;Unknown;Unknown;1024;4000;54.18;61.3;82.65;39.94
68;[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large);100%;2136;559M;1024;514;58.12;61.84;73.01;50.68
70;[gte-base](https://huggingface.co/thenlper/gte-base);⚠️ NA;209;109M;768;512;57.66;62.43;76.74;48.12
71;[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3);100%;2441;1B;2048;2048;53.84;61.04;82.65;39.44
72;[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5);100%;390;109M;768;512;57.58;61.43;73;49.87
73;[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1);100%;1278;335M;1024;512;58.24;61.71;72.13;51.3
74;[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet);100%;449;117M;384;512;55.69;60.04;73.07;47.01
75;[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1);100%;413;108M;1024;Unknown;56.82;60.09;69.91;50.27
76;[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m);100%;415;109M;768;512;57.23;60.5;70.31;50.7
77;[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5);100%;127;33M;512;512;56.89;60.02;69.4;50.64
78;[gte-small](https://huggingface.co/thenlper/gte-small);⚠️ NA;64;33M;384;512;56.96;59.97;69.01;50.93
79;[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2);⚠️ NA;Unknown;Unknown;Unknown;512;56.42;60.4;72.37;48.44
80;[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base);100%;209;110M;768;512;49.7;56.79;78.05;35.53
80;[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large);100%;639;335M;768;512;50.57;57.87;79.77;35.98
82;[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english);100%;238;125M;768;512;55.88;59.18;69.09;49.28
83;[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2);100%;127;33M;384;512;56.36;59.43;68.65;50.22
84;[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur);⚠️ NA;87;22M;384;512;55.54;58.76;68.4;49.11
85;[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco);⚠️ NA;Unknown;Unknown;4096;Unknown;55.22;57.88;65.86;49.9
86;[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0);100%;418;109M;768;512;54.89;59.38;72.86;45.91
87;[embedder-100p](https://huggingface.co/deepfile/embedder-100p);⚠️ NA;1061;Unknown;768;514;54.92;59.06;71.48;46.65
88;[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0);100%;127;33M;384;512;54.95;58.5;69.14;47.85
89;[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2);100%;127;33M;384;256;54.73;58.34;69.17;47.52
90;[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k);100%;Unknown;Unknown;Unknown;4096;55.08;57.96;66.58;49.34
91;[e5-base](https://huggingface.co/intfloat/e5-base);100%;418;109M;768;512;53.31;57.23;69.01;45.46
92;[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2);100%;418;109M;768;384;53.63;56.75;66.12;47.39
93;[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1);100%;127;33M;384;512;52.6;56.22;67.06;45.38
94;[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2);100%;87;22M;384;512;52.04;56.03;68.01;44.05
95;[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1);100%;522;Unknown;768;8192;50.42;55.66;71.41;39.92
96;[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2);100%;87;22M;384;256;51.64;55.56;67.31;43.81
97;[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1);⚠️ NA;87;22M;384;512;51.64;55.56;67.31;43.81
98;[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large);100%;1659;434M;1024;514;50.14;54.79;68.72;40.85
99;[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs);100%;86;22M;384;512;51.35;54.74;64.91;44.57
100;[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct);⚠️ NA;13563;7B;Unknown;32768;;;75.66;
101;[LaBSE](https://huggingface.co/sentence-transformers/LaBSE);100%;1796;471M;768;512;48.64;53.38;67.62;39.14
102;[Venusaur](https://huggingface.co/Mihaiii/Venusaur);⚠️ NA;60;15M;384;512;47.38;50.68;60.56;40.79
103;[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english);100%;58;30M;384;512;47.66;52.14;65.55;38.72
104;[Squirtle](https://huggingface.co/Mihaiii/Squirtle);100%;60;15M;384;512;46.78;50.42;61.34;39.49
105;[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase);100%;449;118M;384;256;46.21;50.36;62.82;37.91
106;[Wartortle](https://huggingface.co/Mihaiii/Wartortle);100%;66;17M;384;512;45.18;48.8;59.64;37.96
106;[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small);100%;449;117M;384;512;45.1;48.84;60.05;37.63
108;[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa);100%;1540;404M;1024;512;45.16;49.93;64.26;35.61
109;[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur);⚠️ NA;66;17M;384;512;44.39;47.76;57.86;37.66
110;[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1);100%;Unknown;Unknown;Unknown;Unknown;41.23;42.92;47.99;37.84
110;[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse);100%;27126;7B;4096;32768;43.14;47.93;62.3;33.56
112;[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base);100%;1061;278M;768;514;41.71;47.65;65.46;29.83
113;[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5);100%;522;137M;768;8192;40.67;45.57;60.26;30.88
113;[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4);⚠️ NA;73;19M;384;512;41.1;44.78;55.81;33.74
115;[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base);100%;475;124M;768;514;37.34;42.44;57.72;27.15
116;[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1);100%;87;22M;384;512;41.05;47.06;65.08;29.04
117;[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo);100%;490;129M;768;512;35.67;40.21;53.82;26.59
118;[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2);⚠️ NA;1281;335M;1024;512;33.64;38.27;52.14;24.39
119;[USER-base](https://huggingface.co/deepvk/USER-base);100%;473;427M;768;512;33.5;38.15;52.11;24.19
120;[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1);⚠️ NA;Unknown;Unknown;768;514;32.97;37.19;49.85;24.52
121;[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru);100%;492;129M;768;512;32.2;37.57;53.7;21.44
122;[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings);⚠️ NA;Unknown;Unknown;1024;512;31.35;36;49.93;22.07
123;[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1);⚠️ NA;396;103M;768;512;31.51;36.67;52.12;21.21
124;[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m);100%;Unknown;Unknown;Unknown;Unknown;26.17;31.43;47.21;15.66
125;[gte-micro](https://huggingface.co/Mihaiii/gte-micro);⚠️ NA;66;17M;384;512;24.06;28.47;41.69;15.24
126;[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet);100%;418;109M;768;514;24.2;29.81;46.62;12.99
127;[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny);100%;45;11M;312;512;20.94;26.4;42.77;10.03
128;[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo);100%;111;29M;312;2048;18.96;24.22;40.01;8.43
129;[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2);100%;112;29M;312;2048;18.2;23.19;38.15;8.23
130;[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence);100%;408;107M;768;512;17.61;22.21;36;8.42
131;[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka);100%;516;135M;768;512;17.05;21.81;36.09;7.52
132;[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka);100%;621;162M;768;512;17.94;22.74;37.15;8.33
133;[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1);⚠️ NA;516;135M;768;512;17.81;22.81;37.82;7.8
133;[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational);100%;408;107M;768;512;16.43;21.53;36.86;6.21
135;[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding);⚠️ NA;158;98M;1024;512;15.64;21.23;38.03;4.44
136;[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings);100%;9560;2B;2048;8192;;;37.7;
137;[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru);100%;1629;427M;1024;512;16.04;20.97;35.78;6.16
138;[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased);100%;4883;1B;768;512;14.08;19.33;35.08;3.58
139;[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru);100%;1629;427M;1024;512;15.2;20.39;35.97;4.81
140;[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base);100%;473;124M;768;512;13.15;18.16;33.19;3.14
141;[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en);100%;262;137M;768;8192;;;30.07;